,amount,commission,sid,status,time,symbol
129,-41600,851.76,2010007117,1,2015/08/10,603993
130,114000,602.946,2010000153,1,2015/08/11,600177
131,-16200,856.2996,2010000279,1,2015/08/11,600315
132,-21600,793.5408,2010000361,1,2015/08/11,600410
133,-67300,998.2609,2010000477,1,2015/08/11,600565
134,40300,801.3072,2010001711,1,2015/08/10,002268
135,49300,644.4003,2010004534,1,2015/08/11,002555
136,-13200,815.4432,2010004990,1,2015/08/11,002642
137,-45900,901.017,2010007117,1,2015/08/11,603993
138,-12300,285.7413,2010000153,1,2015/08/12,600177
139,-5500,294.5085,2010000279,1,2015/08/12,600315
140,-7800,292.6404,2010000361,1,2015/08/12,600410
141,-24400,377.468,2010000477,1,2015/08/12,600565
142,-13000,1155.791,2010001711,1,2015/08/12,002268
143,-8100,454.5801,2010004534,1,2015/08/12,002555
144,-3500,224.315,2010004990,1,2015/08/12,002642
145,-12900,278.5497,2010007117,1,2015/08/12,603993
146,1900,10.2258,2010000153,1,2015/08/13,600177
147,800,9.9888,2010000279,1,2015/08/13,600315
148,600,5.2146,2010000361,1,2015/08/13,600410
149,-1400,22.0038,2010000477,1,2015/08/13,600565
150,39200,535.4328,2010001047,1,2015/08/13,000503
151,-200,17.2718,2010001711,1,2015/08/13,002268
152,1700,22.2411,2010004534,1,2015/08/13,002555
153,-200,12.9246,2010004990,1,2015/08/13,002642
154,-7100,149.4337,2010007117,1,2015/08/13,603993
155,28900,586.7856,2010004939,1,2015/08/12,002625
156,-19100,442.9672,2010000153,1,2015/08/14,600177
157,-8500,465.868,2010000279,1,2015/08/14,600315
158,-11800,465.1088,2010000361,1,2015/08/14,600410
159,-30400,486.8864,2010000477,1,2015/08/14,600565
160,-5900,339.2441,2010001047,1,2015/08/14,000503
161,-4200,356.811,2010001711,1,2015/08/14,002268
162,-8100,441.1017,2010004534,1,2015/08/14,002555
163,-6500,553.3905,2010004939,1,2015/08/14,002625
164,-7100,504.6964,2010004990,1,2015/08/14,002642
165,-18000,381.654,2010007117,1,2015/08/14,603993
166,9500,45.771,2010000153,1,2015/08/17,600177
167,3300,38.6298,2010000279,1,2015/08/17,600315
168,3000,24.561,2010000361,1,2015/08/17,600410
169,10800,36.5796,2010000477,1,2015/08/17,600565
170,4600,54.9378,2010001047,1,2015/08/17,000503
